crop_name,Nitrogen (%),Phosphorous (%),Potassium (%),Soil Moisture (%),Number of times of irrigation in a day,Number of days of irrigation in a week,Latitude,Soil pH,Temperature (ï¿½C),Humidity (%)
Maize,0.18-0.22,0.13-0.17,0.28-0.32,60-70,1,3,1.2900-1.2950,5.5-7.0,24-28,60-70
Rice,0.23-0.27,0.16-0.20,0.26-0.30,70-80,2,6,1.2900-1.2950,5.0-6.5,26-32,70-85
Wheat,0.16-0.19,0.11-0.13,0.23-0.27,50-60,1,3,1.2900-1.2950,6.0-7.5,15-20,40-60
Sorghum,0.14-0.16,0.09-0.11,0.19-0.21,40-50,1,2,1.2900-1.2950,5.5-7.0,25-30,55-65
Millet,0.11-0.13,0.07-0.09,0.17-0.19,30-40,1,2,1.2900-1.2950,5.0-6.5,28-32,55-65
Beans,0.19-0.21,0.13-0.15,0.24-0.26,60-70,1,3,1.2900-1.2950,5.5-7.0,20-25,60-70
Peas,0.17-0.19,0.12-0.14,0.19-0.21,55-65,1,3,1.2900-1.2950,5.5-7.0,15-20,65-75
Sweet Potatoes,0.14-0.16,0.10-0.12,0.20-0.24,70-80,1,2,1.2900-1.2950,5.5-7.0,25-30,70-80
Irish Potatoes,0.15-0.17,0.13-0.15,0.22-0.26,75-85,1,3,1.2900-1.2950,5.5-7.0,15-20,75-85
Cassava,0.12-0.14,0.09-0.11,0.18-0.22,65-75,1,2,1.2900-1.2950,5.5-7.0,23-28,65-75
Taro,0.18-0.22,0.14-0.16,0.23-0.27,80-90,2,6,1.2900-1.2950,5.5-7.0,26-32,75-90
Groundnuts,0.18-0.22,0.12-0.14,0.23-0.27,60-70,1,2,1.2900-1.2950,5.5-7.0,22-26,60-70
Soybeans,0.20-0.24,0.14-0.16,0.26-0.30,55-65,1,3,1.2900-1.2950,5.5-7.0,20-25,55-65
Sunflower,0.14-0.16,0.11-0.13,0.19-0.21,50-60,1,2,1.2900-1.2950,5.5-7.0,22-28,55-65
Cabbage,0.17-0.19,0.14-0.16,0.21-0.23,60-70,1,3,1.2900-1.2950,5.5-7.0,18-22,65-75
Carrots,0.15-0.17,0.13-0.15,0.20-0.24,65-75,1,3,1.2900-1.2950,5.5-7.0,16-20,70-80
Tomatoes,0.19-0.22,0.14-0.16,0.23-0.27,70-80,1,3,1.2900-1.2950,5.5-7.0,18-26,75-85
Onions,0.16-0.18,0.12-0.14,0.21-0.25,65-75,1,3,1.2900-1.2950,5.5-7.0,18-24,70-80
Kales,0.18-0.20,0.13-0.15,0.22-0.26,60-70,1,3,1.2900-1.2950,5.5-7.0,18-22,65-75
Okra,0.17-0.19,0.13-0.15,0.21-0.25,70-80,1,3,1.2900-1.2950,5.5-7.0,24-30,70-85
Pumpkin,0.14-0.16,0.12-0.14,0.20-0.24,65-75,1,2,1.2900-1.2950,5.5-7.0,22-28,70-80
Chili Peppers,0.18-0.20,0.13-0.15,0.23-0.27,80-90,2,4,1.2900-1.2950,5.5-7.0,20-28,75-85
Eggplant,0.16-0.18,0.12-0.14,0.21-0.25,60-70,1,3,1.2900-1.2950,5.5-7.0,18-24,65-75
Coriander,0.14-0.16,0.11-0.13,0.20-0.22,55-65,1,2,1.2900-1.2950,5.5-7.0,18-24,60-70
Lettuce,0.17-0.19,0.13-0.15,0.21-0.25,60-70,1,3,1.2900-1.2950,5.5-7.0,16-20,70-80
Spinach,0.19-0.22,0.14-0.16,0.23-0.27,65-75,1,3,1.2900-1.2950,5.5-7.0,18-24,70-80
Beetroot,0.15-0.17,0.12-0.14,0.20-0.24,70-80,1,2,1.2900-1.2950,5.5-7.0,18-22,70-80
